Drink-week,Type,Money-week,Money-drink
1,hard,10,50
1,soft,20,7
1,soft,1,5.5
0,soft,0,6
1,soft,3,6
0,soft,0,0
0,soft,0,0
2,hard,25,8
0,hard,0,20
0,hard,0,10
1,soft,1,60
1,soft,5,7
1,soft,10,17
2,hard,0,0
3,soft,20,7
2,hard,10,7
1,hard,14,7
0,hard,0,20
2,hard,15,1
1,soft,10,0
3,soft,30,2
3,hard,15,14
1,hard,1,6
0,soft,0,12
3,hard,10,7
1,soft,15,8
1,hard,30,120
3,soft,15,38
1,soft,5,9
0,soft,0,0
1,hard,0,5
0,soft,0,10
1,soft,10,0
5,soft,20,5
2,soft,10,8
1,hard,10,40
0,soft,0,0
